EstablecimientoCodigo,RegionCodigo,ComunaCodigo,ServicioSaludCodigo,TipoEstablecimiento,DependenciaAdministrativa,NivelAtencion,TipoUrgencia,NivelComplejidad,Anio,SemanaEstadistica,OrdenCausa,NumTotal,Causa
113150,13,13402,13,Hospital,Servicio de Salud,TERCIARIO,URGENCIA HOSPITALARIA (UEH),Mediana Complejidad,2024,4,35,0,"COVID-19, virus identificado (U07.1)"
122100,14,14101,22,Hospital,Servicio de Salud,TERCIARIO,URGENCIA HOSPITALARIA (UEH),Alta Complejidad,2020,41,34,3,"COVID-19, virus no identificado (U07.2)"
201000,5,5403,7,Servicio de Urgencia Rural (SUR),Municipal ,PRIMARIO,URGENCIA AMBULATORIA (SUR),Baja Complejidad,2023,27,34,0,"COVID-19, virus no identificado (U07.2)"
117101,16,16101,17,Hospital,Servicio de Salud,TERCIARIO,URGENCIA HOSPITALARIA (UEH),Alta Complejidad,2022,15,4,149,IRA alta (J00-J06)
106826,5,5603,6,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2014,33,8,7,Crisis obstructiva bronquial (J40-J46)
200108,5,5101,6,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2022,8,8,0,Crisis obstructiva bronquial (J40-J46)
200148,7,7401,16,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2021,31,35,0,"COVID-19, virus identificado (U07.1)"
133165,10,10208,33,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2019,41,5,6,Influenza (J09-J11)
115101,6,6106,15,Hospital,Servicio de Salud,PRIMARIO,URGENCIA HOSPITALARIA (UEH),Baja Complejidad,2019,28,6,8,Neumonía (J12-J18)
109824,13,13125,9,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2022,12,6,2,Neumonía (J12-J18)
200106,5,5601,6,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2025,48,6,3,Neumonía (J12-J18)
121110,9,9108,21,Hospital,Servicio de Salud,TERCIARIO,URGENCIA HOSPITALARIA (UEH),Mediana Complejidad,2024,44,4,53,IRA alta (J00-J06)
200159,9,9101,21,Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAR),Baja Complejidad,2015,11,8,1,Crisis obstructiva bronquial (J40-J46)
109824,13,13125,9,Servicio de Atención Primaria de Urgencia (SAPU),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SAPU),Baja Complejidad,2026,16,35,0,"COVID-19, virus identificado (U07.1)"
200741,4,4301,5,Servicio de Urgencia Rural (SUR),Municipal,PRIMARIO,URGENCIA AMBULATORIA (SUR),Baja Complejidad,2020,25,9,0,"Otra causa respiratoria (J22, J30-J39, J47, J60-J98)"
