EstablecimientoCodigo,EstablecimientoGlosa,RegionCodigo,RegionGlosa,ComunaCodigo,ComunaGlosa,ServicioSaludCodigo,ServicioSaludGlosa,TipoEstablecimiento,DependenciaAdministrativa,NivelAtencion,TipoUrgencia,Latitud,Longitud,NivelComplejidad,Anio,SemanaEstadistica,OrdenCausa,Causa,NumTotal,NumMenor1Anio,Num1a4Anios,Num5a14Anios,Num15a64Anios,Num65oMas
,,,,,,,,,,,,,,,2024,22,6,Neumonía (J12-J18),3,0,0,0,1,2
,,,,,,,,,,,,,,,2024,48,7,Bronquitis/bronquiolitis aguda (J20-J21),0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,50,9,"Otra causa respiratoria no contenidas en las categorías anteriores (J22; J30-J39, J47, J60-J98)",0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,16,34,"- Por covid-19, virus no identificado U07.2",0,0,0,0,0,0
,,,,,,,,,,,,,,,2023,2,5,Influenza (J09-J11),0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,7,11,"TOTAL ATENCIONES POR COVID-19, Virus Identificado U07.1",1,0,0,0,1,0
,,,,,,,,,,,,,,,2025,11,10,TOTAL ATENCIONES POR COVID-19  Virus no Identificado U07.2,0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,14,34,"- Por covid-19, virus no identificado U07.2",0,0,0,0,0,0
,,,,,,,,,,,,,,,2021,52,34,"- Por covid-19, virus no identificado U07.2",0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,3,6,Neumonía (J12-J18),3,0,0,0,2,1
,,,,,,,,,,,,,,,2023,45,4,IRA Alta (J00-J06),40,0,4,19,13,4
,,,,,,,,,,,,,,,2025,2,33,- Causas sistema respiratorio (J00-J98),0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,31,6,Neumonía (J12-J18),8,0,0,0,2,6
,,,,,,,,,,,,,,,2025,35,10,TOTAL ATENCIONES POR COVID-19  Virus no Identificado U07.2,0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,10,4,IRA Alta (J00-J06),62,1,6,16,38,1
,,,,,,,,,,,,,,,2025,37,5,Influenza (J09-J11),0,0,0,0,0,0
,,,,,,,,,,,,,,,2024,27,35,"- Por covid-19, virus identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,8,4,IRA Alta (J00-J06),31,0,6,5,18,2
,,,,,,,,,,,,,,,2024,52,8,Crisis obstructiva bronquial (J40-J46),2,0,0,1,0,1
,,,,,,,,,,,,,,,2025,16,11,"TOTAL ATENCIONES POR COVID-19, Virus Identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,10,35,"- Por covid-19, virus identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2024,42,33,- Causas sistema respiratorio (J00-J98),0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,41,34,"- Por covid-19, virus no identificado U07.2",0,0,0,0,0,0
,,,,,,,,,,,,,,,2024,47,11,"TOTAL ATENCIONES POR COVID-19, Virus Identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,18,10,TOTAL ATENCIONES POR COVID-19  Virus no Identificado U07.2,0,0,0,0,0,0
,,,,,,,,,,,,,,,2022,41,11,"TOTAL ATENCIONES POR COVID-19, Virus Identificado U07.1",46,0,1,9,30,6
,,,,,,,,,,,,,,,2022,33,5,Influenza (J09-J11),0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,6,10,TOTAL ATENCIONES POR COVID-19  Virus no Identificado U07.2,0,0,0,0,0,0
,,,,,,,,,,,,,,,2022,20,3,TOTAL CAUSA SISTEMA  RESPIRATORIO (J00-J98),515,19,85,185,204,22
,,,,,,,,,,,,,,,2026,3,5,Influenza (J09-J11),0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,47,35,"- Por covid-19, virus identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2024,10,7,Bronquitis/bronquiolitis aguda (J20-J21),0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,18,4,IRA Alta (J00-J06),5,0,0,2,3,0
,,,,,,,,,,,,,,,2026,17,5,Influenza (J09-J11),0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,44,8,Crisis obstructiva bronquial (J40-J46),1,0,0,0,0,1
,,,,,,,,,,,,,,,2025,38,35,"- Por covid-19, virus identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2022,44,9,"Otra causa respiratoria no contenidas en las categorías anteriores (J22; J30-J39, J47, J60-J98)",3,0,0,2,1,0
,,,,,,,,,,,,,,,2025,42,33,- Causas sistema respiratorio (J00-J98),0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,5,6,Neumonía (J12-J18),0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,42,4,IRA Alta (J00-J06),206,7,33,69,91,6
,,,,,,,,,,,,,,,2026,9,11,"TOTAL ATENCIONES POR COVID-19, Virus Identificado U07.1",0,0,0,0,0,0
,,,,,,,,,,,,,,,2025,47,8,Crisis obstructiva bronquial (J40-J46),0,0,0,0,0,0
,,,,,,,,,,,,,,,2026,1,4,IRA Alta (J00-J06),100,3,9,10,69,9
,,,,,,,,,,,,,,,2026,8,4,IRA Alta (J00-J06),56,2,3,6,37,8
,,,,,,,,,,,,,,,2023,40,33,- Causas sistema respiratorio (J00-J98),0,0,0,0,0,0
